iteration,x0,x1,x2,x3
0,-2.0,2.0,-1.0,1.0
1,-1.3934348194337614,1.6421033034206869,-0.690907398408775,0.3608987561083693
2,-1.608096755775597,0.7413910848989894,-0.3334429111860438,0.48278761066975023
3,-1.6177675840314494,0.12567722064467124,-1.1092553981720736,0.3452452627095228
4,-2.2940036721121073,0.19271040528890637,-1.0552654140516216,-0.3863942571009463
5,-1.4764472174005026,0.22607761325548476,-0.7516197629575395,0.10175263817091534
6,-1.8767188131150274,0.18518141770340463,-0.5715140007957689,-0.73627715418166
7,-1.3236824032175731,0.1330424088345688,-0.44435960400920876,-0.45094125168805577
8,-0.9879028933027245,0.09849523903589033,-0.3363302083300564,-0.3332853891546048
9,-0.7500023759746302,0.07487359014773808,-0.25571075495035644,-0.2552823474427133
10,-0.5668010770569704,0.056701216173715235,-0.1940365090679514,-0.1940616084489145
11,-0.4287410277397521,0.04289521457980671,-0.14765122866902414,-0.14766697467466233
12,-0.32430759696397304,0.03243611296141053,-0.11253321670138908,-0.11253107734181772
13,-0.24550183703762163,0.02455122996895338,-0.08600390105582825,-0.08600015575232481
14,-0.18597779153004917,0.018598535682747004,-0.0659509606449932,-0.06594911837049516
15,-0.14102687947862613,0.014103312072670978,-0.05080051149293234,-0.05079972221422053
16,-0.10706929160228496,0.010707313058143198,-0.039351375813368394,-0.03935094857981942
17,-0.08140688561434045,0.00814090215521787,-0.03069666039349386,-0.03069639441921935
18,-0.06199754446253811,0.006199877054228225,-0.02414937032271501,-0.02414920768801776
19,-0.04729629566833507,0.004729703168485181,-0.019189387863283607,-0.019189291018480305
20,-0.0361313141402875,0.003613176298190085,-0.015421973514092864,-0.015421915543737721
21,-0.027610328259108627,0.002761060287331734,-0.012546411707038983,-0.012546376432513705
22,-0.021048179421716794,0.0021048347864717942,-0.01033170203964144,-0.010331680376359351
23,-0.015909595671284187,0.0015909698560155454,-0.008597324144743653,-0.008597310895360637
24,-0.011761107675764397,0.0011761168810972534,-0.007197053739480492,-0.00719704585143191
25,-0.008226442925468421,0.0008226476220490062,-0.006003933307081617,-0.006003928976033071
26,-0.004951928842703881,0.0004951942717353829,-0.004898609987638837,-0.004898608114988358
27,-0.001751910300830931,0.00017519119415003047,-0.0038184303431008735,-0.0038184299922129636
28,0.00011208677582782577,-1.1208453433134944e-05,-0.003189226994557754,-0.0031892265463776596
29,-9.206288200363242e-05,9.206957810761916e-06,-0.0032581308616233978,-0.003258129923261536
30,-6.464085252962418e-05,6.464779601667698e-06,-0.0032488664810870716,-0.0032488656041204838
31,-6.78319506285408e-05,6.783894135653165e-06,-0.003249935748694218,-0.00324993487309928
32,-6.745273574898937e-05,6.745972885271358e-06,-0.003249799840618797,-0.003249798965950532
33,-6.74974848525403e-05,6.750447846899717e-06,-0.003249807044224096,-0.003249806169571467
34,-6.749199636899765e-05,6.749898995774104e-06,-0.003249797289949965,-0.003249796415315309
35,-6.749246197389105e-05,6.749945551808034e-06,-0.0032497895455718836,-0.0032497886709436288
36,-6.749222196154512e-05,6.749921545457714e-06,-0.0032497815630672896,-0.0032497806884456055
37,-6.749206556826766e-05,6.749905901001118e-06,-0.0032497736088468424,-0.0032497727342315806
38,-6.74918992675165e-05,6.74988926578907e-06,-0.0032497656513401185,-0.003249764776731283
39,-6.749173414409462e-05,6.7498727483099406e-06,-0.003249757694288849,-0.003249756819686438
40,-6.749156888141673e-05,6.749856216905196e-06,-0.003249749737248612,-0.0032497488626526258
41,-6.749140363618853e-05,6.749839687245448e-06,-0.0032497417802723042,-0.003249740905682742
42,-6.749123838971382e-05,6.749823157461152e-06,-0.0032497338233536135,-0.0032497329487704753
43,-6.749107314508204e-05,6.7498066278611705e-06,-0.0032497258664935815,-0.003249724991916868
44,-6.74909079028251e-05,6.749790098498751e-06,-0.003249717909692388,-0.0032497170351220984
45,-6.749074266065673e-05,6.749773569145263e-06,-0.00324970995294926,-0.0032497090783853945
46,-6.749057741971818e-05,6.749757039914818e-06,-0.003249701996264582,-0.0032497011217071403
47,-6.749041218141131e-05,6.749740510947577e-06,-0.003249694039638827,-0.003249693165087809
48,-6.749024694309685e-05,6.749723981979658e-06,-0.003249686083071103,-0.003249685208526509
49,-6.749008170606804e-05,6.74970745314038e-06,-0.003249678126561846,-0.0032496772520236757
50,-6.74899164696479e-05,6.749690924362021e-06,-0.003249670170110826,-0.0032496692955790796
51,-6.748975123618557e-05,6.749674395879499e-06,-0.0032496622137188364,-0.0032496613391935136
52,-6.748958600251854e-05,6.749657867376568e-06,-0.003249654257384808,-0.003249653382865909
53,-6.748942077024504e-05,6.749641339013078e-06,-0.003249646301109281,-0.0032496454265968045
54,-6.748925553854215e-05,6.749624810706672e-06,-0.0032496383448919752,-0.003249637470385922
55,-6.748909030978136e-05,6.749608282694572e-06,-0.003249630388733691,-0.0032496295142340616
56,-6.748892508084948e-05,6.749591754665423e-06,-0.0032496224326333772,-0.0032496215581401706
57,-6.748875985326569e-05,6.749575226771122e-06,-0.003249614476591546,-0.003249613602104762
58,-6.748859462822252e-05,6.749558699130958e-06,-0.0032496065206085983,-0.0032496056461282377
59,-6.748842940324548e-05,6.749542171497475e-06,-0.0032495985646836985,-0.003249597690209761
60,-6.748826417947288e-05,6.749525643984502e-06,-0.0032495906088172307,-0.0032495897343497162
61,-6.748809895635222e-05,6.749509116536797e-06,-0.0032495826530090075,-0.0032495817785479155
62,-6.748793373616193e-05,6.749492589382152e-06,-0.0032495746972597966,-0.003249573822805128
63,-6.748776851576922e-05,6.749476062207355e-06,-0.0032495667415685407,-0.0032495658671202942
64,-6.748760329675476e-05,6.749459535170454e-06,-0.0032495587859357722,-0.003249557911493948
65,-6.74874380783211e-05,6.7494430081917076e-06,-0.0032495508303612215,-0.0032495499559258194
66,-6.748727286278258e-05,6.749426481502497e-06,-0.0032495428748456684,-0.003249542000416689
67,-6.748710764710073e-05,6.749409954799057e-06,-0.0032495349193880875,-0.00324953404496553
68,-6.748694243471985e-05,6.7493934284257285e-06,-0.00324952696398964,-0.0032495260895735053
69,-6.748677722001552e-05,6.749376901820151e-06,-0.003249519008648427,-0.003249518134238714
70,-6.748661200963748e-05,6.749360375647237e-06,-0.003249511053366692,-0.0032495101789634015
71,-6.748644679841701e-05,6.749343849390163e-06,-0.00324950309814269,-0.0032495022237458214
72,-6.74862815907767e-05,6.749327323491187e-06,-0.003249495142977913,-0.0032494942685874664
73,-6.748611638268643e-05,6.7493107975472434e-06,-0.003249487187871,-0.0032494863134869753
74,-6.748595117602612e-05,6.749294271746374e-06,-0.003249479232822585,-0.003249478358444982
75,-6.748578596992179e-05,6.7492777460011785e-06,-0.003249471277832372,-0.0032494704034611906
76,-6.748562076675153e-05,6.749261220549449e-06,-0.003249463322901163,-0.003249462448536403
77,-6.748545556340638e-05,6.7492446950802646e-06,-0.003249455368027908,-0.0032494544936695698
78,-6.748529036137128e-05,6.749228169742173e-06,-0.0032494474132131078,-0.003249446538861191
79,-6.748512515993726e-05,6.749211644464255e-06,-0.0032494394584565217,-0.003249438584111026
80,-6.748495996143503e-05,6.74919511947956e-06,-0.003249431503758936,-0.003249430629419862
