iteration,f_value
1,143.7171037539117
2,57.10434802695095
3,4.2543550562134405
4,4.145556773966474
5,1.8700891638074981
6,1.8491932461339706
7,1.8477896011853823
8,1.842925842330008
9,1.8316663855353625
10,1.804534883359167
11,1.7530741555691345
12,1.662352973581507
13,1.4724386210427687
14,1.154834081581979
15,0.945744730114441
16,0.6396667924866751
17,0.5727913190398107
18,0.4778246278481469
19,0.3304711967322195
20,0.2924432972663667
21,0.216632171244095
22,0.13833319443919184
23,0.09744420446848481
24,0.07554510842911553
25,0.038981683598920513
26,0.020191505736302948
27,0.014066127055797139
28,0.0036717242719606787
29,0.0008937166699876716
30,0.00034537497400646415
31,2.1894161937764997e-05
32,5.01450545665698e-07
33,1.3581336918137356e-09
34,9.166054893558407e-12
35,8.390207588612365e-15
36,1.555219770335201e-17
37,2.8827506910753417e-20
38,5.339363355550339e-23
39,1.007533641186342e-25
40,4.074466575466526e-28
41,1.2818989709841442e-28
42,1.2818989709841442e-28
43,1.2818989709841442e-28
44,1.2818989709841442e-28
45,1.2818989709841442e-28
46,1.2818989709841442e-28
47,1.2818989709841442e-28
48,1.2818989709841442e-28
49,1.2818989709841442e-28
50,1.2818989709841442e-28
