iteration,x0,x1
0,-1.5,-0.5
1,-0.5510303940714324,-0.18463245724428268
2,-0.8308437065731766,0.7754219735807623
3,-0.8013395096376603,0.6581673043384515
4,-0.7818934096089234,0.6017552759766432
5,-0.7696046153938358,0.5785537153581557
6,-0.617851260250764,0.31979777460251585
7,-0.6567760146094364,0.4039079587708341
8,-0.6121236614617254,0.359546868353027
9,-0.36637016988469107,0.07200605184995851
10,-0.4203703287949135,0.17093054040704606
11,-0.32887085993129794,0.09766515356705886
12,-0.2136236329226522,0.012881692640603237
13,-0.1206385856606638,-0.022464546809536433
14,-0.013764372741363454,-0.004572437978769408
15,0.11063846493284439,-0.024303077200671108
16,0.13330040212748656,0.0019703035308173827
17,0.30110549899508765,0.05635186895356628
18,0.3218367001030585,0.09980689838030685
19,0.4636197031967605,0.19182399460037436
20,0.4955103995220367,0.233327588165721
21,0.5769092261846336,0.3135242264044039
22,0.653261428091335,0.4205430441294077
23,0.7590906793083193,0.5524813725634554
24,0.7548449309862049,0.5698201625992467
25,0.8132762824558591,0.6581660990267864
26,0.8732668756201485,0.7530571738647786
27,0.8876157229309859,0.7832814572159164
28,0.9423884087187944,0.8835490626221664
29,0.9594177600311207,0.9214779274303669
30,0.9938398614370596,0.9858123572107284
31,0.9904417718304876,0.9806876773781623
32,0.996479306465094,0.9929068855626678
33,0.9998419435185614,0.9996526264203065
34,0.999987521504707,0.9999751154818479
35,1.0000002426889336,1.0000004703029195
36,1.000000000009027,1.000000000064216
37,0.9999999999999449,0.9999999999997413
38,0.9999999999999823,0.9999999999999653
39,1.0000000000000135,1.0000000000000269
40,1.000000000000001,1.0000000000000022
41,1.000000000000001,1.0000000000000024
42,1.000000000000002,1.000000000000004
43,1.000000000000002,1.000000000000004
44,1.000000000000002,1.000000000000004
45,1.000000000000002,1.000000000000004
46,1.000000000000002,1.000000000000004
47,1.000000000000002,1.000000000000004
48,1.000000000000002,1.000000000000004
49,1.000000000000002,1.000000000000004
50,1.000000000000002,1.000000000000004
