iteration,f_value
1,113.53502418221927
2,88.84975539748191
3,67.23923099663293
4,52.91394985907051
5,27.399493105850258
6,0.47852643769754144
7,0.30630285518056866
8,0.0006092603116539852
9,1.0801608308073412e-06
10,1.6956485170786647e-09
11,1.8553263803624987e-13
12,1.810961297603918e-17
13,2.679836935657493e-21
14,3.9532659859883697e-25
15,4.1809627976713626e-29
16,7.888609052210118e-31
17,7.888609052210118e-31
18,7.888609052210118e-31
19,7.888609052210118e-31
20,7.888609052210118e-31
21,7.888609052210118e-31
22,7.888609052210118e-31
23,7.888609052210118e-31
24,7.888609052210118e-31
25,7.888609052210118e-31
26,7.888609052210118e-31
27,7.888609052210118e-31
28,7.888609052210118e-31
29,7.888609052210118e-31
30,7.888609052210118e-31
31,7.888609052210118e-31
32,7.888609052210118e-31
33,7.888609052210118e-31
