iteration,f_value
1,330.5591771561034
2,160.33427260265694
3,26.641626037277796
4,0.1584278209135936
5,0.12316923795835388
6,0.12270013241557998
7,0.09438505376869938
8,0.03954565631918182
9,0.035598322843981456
10,0.03143790198894705
11,0.01181435905819063
12,0.004991484282947925
13,0.002199158880040537
14,0.0017586841041184655
15,6.742953143310234e-05
16,1.5022555165898869e-06
17,1.4913398395300903e-08
18,2.1696138276682322e-11
19,1.0354619400514072e-13
20,5.109786712973218e-16
21,2.5213822234904842e-18
22,1.2445497854187559e-20
23,6.12669461017232e-23
24,3.1310130916874182e-25
25,3.275547693703946e-27
26,1.4914401489334754e-28
27,1.4914401489334754e-28
28,1.4914401489334754e-28
29,1.4914401489334754e-28
30,1.4914401489334754e-28
31,1.4914401489334754e-28
32,1.4914401489334754e-28
33,1.4914401489334754e-28
34,1.4914401489334754e-28
35,1.4914401489334754e-28
36,1.4914401489334754e-28
37,1.4914401489334754e-28
38,1.4914401489334754e-28
39,1.4914401489334754e-28
40,1.4914401489334754e-28
41,1.4914401489334754e-28
42,1.4914401489334754e-28
43,1.4914401489334754e-28
44,1.4914401489334754e-28
45,1.4914401489334754e-28
46,1.4914401489334754e-28
47,1.4914401489334754e-28
48,1.4914401489334754e-28
49,1.4914401489334754e-28
50,1.4914401489334754e-28
