iteration,f_value
1,18.0
2,4.714657525128787
3,1.049864259118444
4,0.11944536504749405
5,0.04295220918289294
6,0.0005045615909279759
7,1.299585520585026e-05
8,2.8116949525055135e-10
9,7.74114124099987e-14
10,5.953363218004447e-19
11,1.5842270730108382e-23
12,3.660314600225495e-28
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
