iteration,x0,x1
0,2.0,-1.0
1,1.0298289863806562,-0.7575784573664808
2,1.2206876898242647,0.224039062505605
3,1.317030010094805,1.2193873218223572
4,1.3505855008617005,1.805235074184417
5,1.350941503926484,1.8247380080180433
6,1.3502851418922768,1.823202749454843
7,1.301561490334423,1.6999323397961044
8,1.1957112802899628,1.4262001983243067
9,1.1693575396519182,1.3590805979974399
10,1.1611075184385584,1.3407664344434307
11,1.101539596722509,1.2095112498441094
12,1.068106335931529,1.138972285392056
13,1.0261088463566028,1.0490038709928369
14,1.0024588538018384,1.0091102056938104
15,0.9922572937726756,0.9843010405787264
16,0.999386769197637,0.9988800371828204
17,0.9999775669406907,0.9999671386156466
18,1.0000042661071558,1.0000087192209604
19,1.0000003134664779,1.000000634202828
20,1.0000000220205438,1.0000000445517183
21,1.0000000015468538,1.000000003129572
22,1.0000000001086775,1.0000000002198743
23,1.0000000000076241,1.0000000000154254
24,1.0000000000005456,1.0000000000011036
25,1.0000000000000568,1.0000000000001144
26,1.0000000000000122,1.0000000000000244
27,1.0000000000000122,1.0000000000000244
28,1.0000000000000122,1.0000000000000244
29,1.0000000000000122,1.0000000000000244
30,1.0000000000000122,1.0000000000000244
31,1.0000000000000122,1.0000000000000244
32,1.0000000000000122,1.0000000000000244
33,1.0000000000000122,1.0000000000000244
34,1.0000000000000122,1.0000000000000244
35,1.0000000000000122,1.0000000000000244
36,1.0000000000000122,1.0000000000000244
37,1.0000000000000122,1.0000000000000244
38,1.0000000000000122,1.0000000000000244
39,1.0000000000000122,1.0000000000000244
40,1.0000000000000122,1.0000000000000244
41,1.0000000000000122,1.0000000000000244
42,1.0000000000000122,1.0000000000000244
43,1.0000000000000122,1.0000000000000244
44,1.0000000000000122,1.0000000000000244
45,1.0000000000000122,1.0000000000000244
46,1.0000000000000122,1.0000000000000244
47,1.0000000000000122,1.0000000000000244
48,1.0000000000000122,1.0000000000000244
49,1.0000000000000122,1.0000000000000244
50,1.0000000000000122,1.0000000000000244
