iteration,f_value
1,26.246156967330176
2,4.076542185045362
3,3.2704954215095103
4,3.1843640174043895
5,3.1503725191893897
6,3.0011288563788616
7,2.8202393061543094
8,2.6218904310290907
9,2.25411334162935
10,2.02079348886651
11,1.776903637459954
12,1.5801606070811312
13,1.3928656650328262
14,1.0299857687299647
15,0.9245099471925544
16,0.7761280651408663
17,0.6061893361842512
18,0.4613282319298071
19,0.3411537236101598
20,0.2694009994710321
21,0.2162549142586071
22,0.12408087993359954
23,0.11438317949277055
24,0.06010109366975905
25,0.03592343535903783
26,0.025158366331761616
27,0.014728062107517193
28,0.005386480183526802
29,0.0017460180690997132
30,0.00040096905867225406
31,9.960960373941494e-05
32,1.2806454397274726e-05
33,1.2286071972381995e-07
34,1.562358155891407e-10
35,8.162350082747037e-14
36,2.1317417085579211e-19
37,2.2096784788298025e-24
38,3.424272626241395e-28
39,1.8838984492809288e-28
40,1.232595164407831e-30
41,6.162975822039155e-30
42,3.993608332681372e-30
43,3.993608332681372e-30
44,3.993608332681372e-30
45,3.993608332681372e-30
46,3.993608332681372e-30
47,3.993608332681372e-30
48,3.993608332681372e-30
49,3.993608332681372e-30
50,3.993608332681372e-30
