iteration,f_value
1,28.490528251451426
2,24.594552815157567
3,20.107445349394727
4,10.823690416783995
5,3.4563409407681216
6,1.464600367579672
7,0.4884424428896539
8,0.1735872912173333
9,0.05897395050749868
10,0.019655467043000918
11,0.006501095406412397
12,0.0029891934197420096
13,0.00245924381727094
14,0.002384163232338872
15,0.0022720960914350643
16,0.0019885749493418962
17,0.001451384603019282
18,0.0007694017227637745
19,0.00031641966394485967
20,0.0001110841061731789
21,4.171754923468304e-05
22,3.274766208141678e-05
23,2.8798828811999827e-05
24,1.218174131266574e-05
25,4.495921797776181e-06
26,1.4955227865453007e-06
27,5.073087679396175e-07
28,1.711616492125863e-07
29,5.8457068163750905e-08
30,2.0076319405587218e-08
31,6.860694983869289e-09
32,2.276090838563548e-09
33,7.553962776707561e-10
34,3.5258006731202525e-10
35,2.971191047255987e-10
36,2.9449937079057823e-10
37,2.9348539117100255e-10
38,2.925500719975187e-10
39,2.9162284696405675e-10
40,2.9070020802689635e-10
41,2.8978195184184286e-10
42,2.888680418335627e-10
43,2.879584501518509e-10
44,2.8705314960149874e-10
45,2.861521132236656e-10
46,2.852553142721335e-10
47,2.843627262101713e-10
48,2.834743227084993e-10
49,2.82590077643358e-10
50,2.817099650945724e-10
51,2.808339593436615e-10
52,2.799620348719456e-10
53,2.7909416635869033e-10
54,2.782303286792769e-10
55,2.773704969033681e-10
56,2.765146462931116e-10
57,2.756627523013659e-10
58,2.7481479056992997e-10
59,2.739707369278017e-10
60,2.731305673894598e-10
61,2.722942581531533e-10
62,2.714617855992174e-10
63,2.7063312628839604e-10
64,2.6980825696019916e-10
65,2.6898715453126845e-10
66,2.681697960937523e-10
67,2.673561589137158e-10
68,2.6654622042955685e-10
69,2.6573995825043813e-10
70,2.649373501547388e-10
71,2.641383740885223e-10
72,2.6334300816401727e-10
73,2.6255123065812277e-10
74,2.617630200109185e-10
75,2.6097835482419866e-10
76,2.6019721386001974e-10
77,2.5941957603925523e-10
78,2.5864542044018127e-10
79,2.5787472629706233e-10
80,2.571074729987559e-10
