iteration,f_value
1,5.1321595899909065
2,4.550940265566881
3,0.7039126847743479
4,0.015826989362486065
5,3.629275943073664e-05
6,2.001466444143359e-07
7,9.547286681564903e-09
8,1.1160606183629184e-12
9,6.808162317276209e-16
10,4.787826352582705e-19
11,3.3671191408985445e-22
12,2.3658648522392843e-25
13,2.0510383535746307e-28
14,7.888609052210118e-31
15,7.888609052210118e-31
16,7.888609052210118e-31
17,7.888609052210118e-31
18,7.888609052210118e-31
19,7.888609052210118e-31
20,7.888609052210118e-31
21,7.888609052210118e-31
22,7.888609052210118e-31
23,7.888609052210118e-31
24,7.888609052210118e-31
25,7.888609052210118e-31
26,7.888609052210118e-31
27,7.888609052210118e-31
28,7.888609052210118e-31
29,7.888609052210118e-31
30,7.888609052210118e-31
31,7.888609052210118e-31
