iteration,f_value
1,378.88106860278094
2,363.0861455838931
3,352.9881977847143
4,319.79028012084194
5,72.7586205667456
6,26.476866676737224
7,8.228252866936728
8,2.7185451856945737
9,0.8786476458741539
10,0.2866647150043734
11,0.09332672960150618
12,0.030490122717194215
13,0.009994854107487152
14,0.003298926039871063
15,0.0011010332647858616
16,0.0003741450617743998
17,0.00013054543784113114
18,4.707937458660044e-05
19,1.7456780524401805e-05
20,6.431012324034235e-06
21,2.2001962386684465e-06
22,7.856354528288832e-07
23,5.692945316681505e-07
24,5.663883385354629e-07
25,5.663526693148057e-07
26,5.663170478366082e-07
27,5.662814297209005e-07
28,5.66245814965383e-07
29,5.662102035696278e-07
30,5.661745955332125e-07
31,5.661389908557148e-07
32,5.661033895367117e-07
33,5.660677915757816e-07
34,5.660321969725015e-07
35,5.659966057264493e-07
36,5.65961017837203e-07
37,5.659254333043402e-07
38,5.658898521274391e-07
39,5.65854274306078e-07
40,5.658186998398343e-07
41,5.657831287282865e-07
42,5.657475609710128e-07
43,5.657119965675911e-07
44,5.656764355176003e-07
45,5.656408778206188e-07
46,5.656053234762249e-07
47,5.655697724839969e-07
48,5.655342248435135e-07
49,5.654986805543538e-07
50,5.654631396160961e-07
51,5.654276020283193e-07
52,5.653920677906026e-07
53,5.653565369025244e-07
54,5.653210093636638e-07
55,5.652854851736001e-07
56,5.652499643319127e-07
57,5.652144468381802e-07
58,5.651789326919823e-07
59,5.651434218928983e-07
60,5.651079144405069e-07
61,5.650724103343886e-07
62,5.650369095741224e-07
63,5.65001412159288e-07
64,5.649659180894648e-07
65,5.649304273642331e-07
66,5.648949399831723e-07
67,5.648594559458624e-07
68,5.648239752518834e-07
69,5.647884979008151e-07
70,5.647530238922374e-07
71,5.64717553225731e-07
72,5.646820859008755e-07
73,5.646466219172516e-07
74,5.646111612744393e-07
75,5.645757039720192e-07
76,5.645402500095716e-07
77,5.645047993866772e-07
78,5.644693521029167e-07
79,5.644339081578701e-07
80,5.643984675511187e-07
